Name,Image source,Rating,Genres,Release year
Hokuto no Ken 2,https://cdn.myanimelist.net/images/anime/1912/106020.jpg,7.56,"['Action', 'Drama', 'Sci-Fi', 'Gore', 'Martial Arts', 'Super Power']",1987
UFO Robo Grendizer,https://cdn.myanimelist.net/images/anime/1440/127558.jpg,7.56,"['Action', 'Sci-Fi', 'Mecha']",1975
Log Horizon 2nd Season,https://cdn.myanimelist.net/images/anime/5/68097.jpg,7.56,"['Action', 'Adventure', 'Fantasy', 'Adult Cast', 'Video Game']",2014
Yuru Yuri,https://cdn.myanimelist.net/images/anime/12/75173.jpg,7.56,"['Award Winning', 'Comedy', 'Girls Love', 'CGDCT', 'Gag Humor', 'School']",2011
Kamonohashi Ron no Kindan Suiri 2nd Season,https://cdn.myanimelist.net/images/anime/1917/144334.jpg,7.56,"['Comedy', 'Mystery', 'Adult Cast', 'Detective']",2024
Kami no Tou,https://cdn.myanimelist.net/images/anime/1702/106229.jpg,7.56,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",2020
Ajin Part 2,https://cdn.myanimelist.net/images/anime/12/81858.jpg,7.56,"['Action', 'Horror', 'Mystery', 'Supernatural', 'Gore']",2016
MF Ghost,https://cdn.myanimelist.net/images/anime/1249/132348.jpg,7.56,['Racing'],2023
Nisekoi,https://cdn.myanimelist.net/images/anime/13/75587.jpg,7.56,"['Comedy', 'Romance', 'Harem', 'School']",2014
Senpai ga Uzai Kouhai no Hanashi,https://cdn.myanimelist.net/images/anime/1055/118890.jpg,7.56,"['Comedy', 'Adult Cast', 'Love Status Quo', 'Workplace']",2021
Noein: Mou Hitori no Kimi e,https://cdn.myanimelist.net/images/anime/1/584.jpg,7.56,"['Adventure', 'Drama', 'Sci-Fi', 'Time Travel']",2005
Kubo-san wa Mob wo Yurusanai,https://cdn.myanimelist.net/images/anime/1818/132330.jpg,7.56,"['Comedy', 'Romance', 'Love Status Quo', 'School']",2023
Tamayura: More Aggressive,https://cdn.myanimelist.net/images/anime/3/53895.jpg,7.56,"['Slice of Life', 'CGDCT', 'Iyashikei']",2013
Senjou no Valkyria,https://cdn.myanimelist.net/images/anime/6/53901.jpg,7.56,"['Action', 'Romance', 'Military']",2009
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,https://cdn.myanimelist.net/images/anime/1280/138474.jpg,7.56,"['Adventure', 'Fantasy', 'Crossdressing', 'Isekai', 'Reincarnation']",2024
Majo no Tabitabi,https://cdn.myanimelist.net/images/anime/1802/108501.jpg,7.56,"['Adventure', 'Fantasy']",2020
Yama no Susume Second Season,https://cdn.myanimelist.net/images/anime/10/56595.jpg,7.56,"['Adventure', 'Slice of Life', 'CGDCT', 'Iyashikei']",2014
Radiant 2nd Season,https://cdn.myanimelist.net/images/anime/1974/108398.jpg,7.56,"['Action', 'Adventure', 'Fantasy']",2019
Deaimon,https://cdn.myanimelist.net/images/anime/1054/121949.jpg,7.55,"['Slice of Life', 'Childcare', 'Workplace']",2022
Shoukoku no Altair,https://cdn.myanimelist.net/images/anime/3/86751.jpg,7.55,"['Adventure', 'Drama', 'Historical', 'Military']",2017
Pokemon (2019),https://cdn.myanimelist.net/images/anime/1689/105554.jpg,7.55,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2019
K: Return of Kings,https://cdn.myanimelist.net/images/anime/6/76198.jpg,7.55,"['Action', 'Super Power']",2015
Kaitou Saint Tail,https://cdn.myanimelist.net/images/anime/6/46607.jpg,7.55,"['Adventure', 'Romance']",1995
New Game!,https://cdn.myanimelist.net/images/anime/9/80417.jpg,7.55,"['Comedy', 'Adult Cast', 'CGDCT', 'Otaku Culture', 'Workplace']",2016
Konjiki no Gash Bell!!,https://cdn.myanimelist.net/images/anime/1151/125951.jpg,7.55,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Mythology']",2003
No.6,https://cdn.myanimelist.net/images/anime/1474/90768.jpg,7.55,"['Action', 'Drama', 'Mystery', 'Sci-Fi']",2011
Chuunibyou demo Koi ga Shitai! Ren,https://cdn.myanimelist.net/images/anime/7/56643.jpg,7.55,"['Comedy', 'Romance', 'School']",2014
Gugure! Kokkuri-san,https://cdn.myanimelist.net/images/anime/6/65665.jpg,7.55,"['Comedy', 'Supernatural', 'Gag Humor']",2014
Moyashimon,https://cdn.myanimelist.net/images/anime/5/37533.jpg,7.55,"['Comedy', 'Gourmet', 'Supernatural', 'Adult Cast']",2007
Hakuouki: Hekketsuroku,https://cdn.myanimelist.net/images/anime/12/71797.jpg,7.55,"['Action', 'Drama', 'Supernatural', 'Historical', 'Samurai']",2010
Nanatsu no Taizai: Imashime no Fukkatsu,https://cdn.myanimelist.net/images/anime/11/90089.jpg,7.55,"['Action', 'Adventure', 'Fantasy']",2018
Wakakusa Monogatari: Nan to Jo-sensei,https://cdn.myanimelist.net/images/anime/12/3276.jpg,7.55,"['Drama', 'Slice of Life', 'Historical', 'School']",1993
Uchuu Senkan Yamato,https://cdn.myanimelist.net/images/anime/1908/94946.jpg,7.55,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Sci-Fi', 'Adult Cast', 'Military', 'Space']",1974
Isekai Nonbiri Nouka,https://cdn.myanimelist.net/images/anime/1983/132329.jpg,7.55,"['Fantasy', 'Slice of Life', 'Isekai', 'Reincarnation']",2023
Re:Creators,https://cdn.myanimelist.net/images/anime/11/85469.jpg,7.55,"['Action', 'Fantasy']",2017
Runway de Waratte,https://cdn.myanimelist.net/images/anime/1544/104540.jpg,7.55,"['Drama', 'School', 'Showbiz', 'Visual Arts']",2020
Hataraku Saibou,https://cdn.myanimelist.net/images/anime/1141/117446.jpg,7.55,"['Comedy', 'Anthropomorphic', 'Educational', 'Medical']",2018
Kindaichi Shounen no Jikenbo Returns,https://cdn.myanimelist.net/images/anime/7/61271.jpg,7.54,['Mystery'],2014
Kakuriyo no Yadomeshi,https://cdn.myanimelist.net/images/anime/1035/95056.jpg,7.54,"['Drama', 'Fantasy', 'Gourmet', 'Romance', 'Adult Cast', 'Isekai', 'Mythology']",2018
"Yondemasu yo, Azazel-san. Z",https://cdn.myanimelist.net/images/anime/3/48957.jpg,7.54,"['Comedy', 'Supernatural', 'Gag Humor', 'Mythology']",2013
Yozakura-san Chi no Daisakusen,https://cdn.myanimelist.net/images/anime/1674/143715.jpg,7.54,"['Action', 'Comedy']",2024
Tsurezure Children,https://cdn.myanimelist.net/images/anime/12/86676.jpg,7.54,"['Comedy', 'Romance', 'School']",2017
Perrine Monogatari,https://cdn.myanimelist.net/images/anime/1206/137104.jpg,7.54,"['Drama', 'Historical']",1978
Hungry Heart: Wild Striker,https://cdn.myanimelist.net/images/anime/12/49655.jpg,7.54,"['Comedy', 'Slice of Life', 'Sports', 'Team Sports']",2002
Aa! Megami-sama! Sorezore no Tsubasa,https://cdn.myanimelist.net/images/anime/4/78931.jpg,7.54,"['Comedy', 'Romance', 'Supernatural', 'Harem']",2006
Koukyuu no Karasu,https://cdn.myanimelist.net/images/anime/1932/127228.jpg,7.54,"['Fantasy', 'Mystery', 'Historical', 'Mythology']",2022
Seitokai Yakuindomo,https://cdn.myanimelist.net/images/anime/4/75550.jpg,7.54,"['Comedy', 'Gag Humor', 'School']",2010
Nijuu Mensou no Musume,https://cdn.myanimelist.net/images/anime/3/8694.jpg,7.54,"['Action', 'Adventure', 'Mystery']",2008
Gensoumaden Saiyuuki,https://cdn.myanimelist.net/images/anime/11/75282.jpg,7.54,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mythology']",2000
Minami-ke Okaeri,https://cdn.myanimelist.net/images/anime/10/11458.jpg,7.54,"['Comedy', 'CGDCT', 'School']",2009
Star☆Twinkle Precure,https://cdn.myanimelist.net/images/anime/1585/97907.jpg,7.54,"['Action', 'Mahou Shoujo']",2019
Ragna Crimson,https://cdn.myanimelist.net/images/anime/1763/140359.jpg,7.54,"['Action', 'Fantasy']",2023
Sakamoto desu ga?,https://cdn.myanimelist.net/images/anime/4/79468.jpg,7.54,"['Comedy', 'Gag Humor', 'School']",2016
Mutsu Enmei Ryuu Gaiden: Shura no Toki,https://cdn.myanimelist.net/images/anime/3/56847.jpg,7.54,"['Action', 'Historical', 'Martial Arts', 'Samurai']",2004
Shakugan no Shana II (Second),https://cdn.myanimelist.net/images/anime/1827/134365.jpg,7.54,"['Action', 'Drama', 'Fantasy', 'Romance', 'School', 'Urban Fantasy']",2007
Hinomaruzumou,https://cdn.myanimelist.net/images/anime/1974/95289.jpg,7.53,"['Sports', 'Combat Sports', 'School']",2018
Chiyu Mahou no Machigatta Tsukaikata,https://cdn.myanimelist.net/images/anime/1733/140802.jpg,7.53,"['Action', 'Adventure', 'Fantasy', 'Isekai']",2024
Taiho Shichau zo (TV),https://cdn.myanimelist.net/images/anime/4/16767.jpg,7.53,"['Action', 'Comedy', 'Adult Cast', 'Detective', 'Workplace']",1996
Mashiro no Oto,https://cdn.myanimelist.net/images/anime/1841/111554.jpg,7.53,"['Drama', 'Music', 'School']",2021
Basilisk: Kouga Ninpou Chou,https://cdn.myanimelist.net/images/anime/1103/133549.jpg,7.53,"['Action', 'Drama', 'Romance', 'Adult Cast', 'Gore', 'Historical', 'Martial Arts', 'Samurai']",2005
Yamada-kun to 7-nin no Majo,https://cdn.myanimelist.net/images/anime/2/73700.jpg,7.53,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Harem', 'School']",2015
Amaama to Inazuma,https://cdn.myanimelist.net/images/anime/6/80546.jpg,7.53,"['Gourmet', 'Slice of Life', 'Childcare', 'Iyashikei']",2016
Uchuu Patrol Luluco,https://cdn.myanimelist.net/images/anime/4/79073.jpg,7.53,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Parody', 'Space']",2016
So Ra No Wo To,https://cdn.myanimelist.net/images/anime/7/81654.jpg,7.53,"['Sci-Fi', 'Slice of Life', 'CGDCT', 'Iyashikei', 'Military', 'Music']",2010
Jigoku Sensei Nube,https://cdn.myanimelist.net/images/anime/1068/99222.jpg,7.53,"['Comedy', 'Horror', 'Supernatural', 'School']",1996
NieR:Automata Ver1.1a,https://cdn.myanimelist.net/images/anime/1399/128318.jpg,7.53,"['Action', 'Fantasy', 'Sci-Fi']",2023
Shin Tennis no Oujisama,https://cdn.myanimelist.net/images/anime/10/33591.jpg,7.53,"['Sports', 'School']",2012
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,https://cdn.myanimelist.net/images/anime/2/70187.jpg,7.53,"['Action', 'Adventure', 'Fantasy']",2015
